"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed"
"0500000US06001","Alameda County, California","275106","6069","9734","1484","25187","3045","34078","2721","36195","3284","32771","2923","24288","2117","15367","2230","23432","2936","63679","4652","10375","1508"
"0500000US06007","Butte County, California","31738","2606","1138","609","2650","1104","3870","1186","2295","912","3719","1233","2767","901","2665","1023","3314","1041","6992","1404","2328","839"
"0500000US06013","Contra Costa County, California","138261","4555","4330","1390","10624","1772","17839","3033","17065","2688","13665","2166","13312","2219","12380","2505","9266","1727","32428","3334","7352","1536"
"0500000US06017","El Dorado County, California","19299","1950","1152","588","1061","665","1875","796","1039","413","1813","565","1785","740","1045","615","1738","783","7033","1471","758","502"
"0500000US06019","Fresno County, California","146538","4888","4934","1317","11081","2126","16550","2536","14790","2238","13471","1890","12386","2079","11094","1964","13261","2533","38864","2924","10107","1740"
"0500000US06023","Humboldt County, California","25069","2137","1223","725","1460","716","2340","1002","1569","649","2687","906","2052","809","1859","1000","2059","882","8235","1698","1585","745"
"0500000US06025","Imperial County, California","21460","2271","1383","760","1829","866","1937","893","1797","830","2849","928","2359","1141","836","673","1626","760","5759","1500","1085","445"
"0500000US06029","Kern County, California","112496","5223","2839","1160","7635","1548","12681","2350","10628","1876","11840","1859","11155","2062","8600","2195","13856","2537","28461","3648","4801","1116"
"0500000US06031","Kings County, California","20900","2016","587","430","2795","840","1824","709","2866","973","1997","946","2440","932","1451","641","2038","956","3757","950","1145","428"
"0500000US06033","Lake County, California","8493","1443","603","546","558","415","316","292","1099","741","1611","884","502","419","854","664","574","498","1647","695","729","458"
"0500000US06037","Los Angeles County, California","1816770","14543","52100","4231","117390","6812","179366","7413","205616","7247","199217","7062","168299","7721","119811","6342","169523","6220","520741","11911","84707","5200"
"0500000US06039","Madera County, California","16166","2173","475","355","1426","743","2326","1217","1756","677","1189","639","1656","895","1116","721","1460","792","3157","1002","1605","722"
"0500000US06041","Marin County, California","39973","2804","2379","889","3061","987","4425","1070","2926","908","4483","1157","4333","1220","2695","870","4453","1340","9483","1778","1735","730"
"0500000US06045","Mendocino County, California","13720","1986","127","106","1267","732","1205","637","1313","717","1751","890","1112","521","176","164","1977","1032","3183","911","1609","760"
"0500000US06047","Merced County, California","38578","2906","1123","466","4229","1312","4351","1274","6047","1837","4465","1152","2525","857","3095","990","2899","1061","6939","1380","2905","1051"
"0500000US06053","Monterey County, California","60485","3009","1786","722","3730","1051","6077","1192","6167","1512","8293","1539","6033","1540","4037","1074","7385","1573","15398","1960","1579","634"
