Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean,Population,City 2,Company_harmonizer_cleaned,Company_harmonizer_score,Company_harmonizer_id,Company_harmonizer_standardized
07/01/2020,09/04/2020,10/02/2020,"**CoreLogic Credco, LLC (Cancelled)",San Diego,San Diego County,137.0,Layoff Permanent,San Diego County,2020.0,layoff permanent,3338330.0,san diego,CORELOGIC CREDCO CANCELLED,0.0,0.0,"**CoreLogic Credco, LLC (Cancelled)"
07/17/2020,09/23/2020,10/02/2020,**JC Penney (Cancelled),San Bernardino,San Bernardino County,109.0,Closure Permanent,San Bernardino County,2020.0,closure permanent,2180085.0,san bernardino,JC PENNEY CANCELLED,59.46218487389961,1.0,**JC Penney (Cancelled)
03/25/2020,03/25/2020,03/25/2020,1 Hotel West Hollywood,West Hollywood,Los Angeles County,223.0,Layoff Temporary,Los Angeles County,2020.0,layoff temporary,10039107.0,west hollywood,1 HOTEL WEST HOLLYWOOD,31.301587301537612,2.0,1 Hotel West Hollywood
04/10/2020,03/18/2020,05/01/2020,1100 Group LLC The Star & Little Star Plaza,Alameda,Alameda County,53.0,Layoff Temporary,Alameda County,2020.0,layoff temporary,1671329.0,alameda,1100 STAR LITTLE STAR PLAZA,34.31884057966041,3.0,1100 Group LLC The Star & Little Star Plaza
03/28/2020,03/17/2020,04/10/2020,"115 New Montgomery LLC, DBA The Bird",San Francisco,San Francisco County,18.0,Layoff Temporary,San Francisco County,2020.0,layoff temporary,881549.0,san francisco,115 NEW MONTGOMERY BIRD,35.154929577415274,4.0,"115 New Montgomery LLC, DBA The Bird"
03/28/2020,03/17/2020,04/10/2020,"117 New Montgomery LLC, DBA Super Duper",San Francisco,San Francisco County,16.0,Layoff Temporary,San Francisco County,2020.0,layoff temporary,881549.0,san francisco,117 NEW MONTGOMERY SUPER DUPER,76.23529411759723,5.0,"117 New Montgomery LLC, DBA Super Duper"
05/05/2020,04/18/2020,05/13/2020,"12:05AM Productions, LLC",Los Angeles,Los Angeles County,107.0,Layoff Temporary,Los Angeles County,2020.0,layoff temporary,10039107.0,los angeles,1205AM PRODUCTIONS,37.99999999995,6.0,"12:05AM Productions, LLC"
06/18/2020,06/26/2020,09/28/2020,1440 Multiversity,Scotts Valley,Santa Cruz County,102.0,Layoff Permanent,Santa Cruz County,2020.0,layoff permanent,273213.0,scotts valley,1440 MULTIVERSITY,37.33333333328356,7.0,1440 Multiversity
03/18/2020,03/18/2020,03/27/2020,1440 Multiversity,Scotts Valley,Santa Cruz County,149.0,Layoff Permanent,Santa Cruz County,2020.0,layoff permanent,273213.0,scotts valley,1440 MULTIVERSITY,99.99999999995,7.0,1440 Multiversity
03/30/2020,04/01/2020,03/30/2020,"1661, Inc. dba GOAT",Los Angeles,Los Angeles County,96.0,Layoff Permanent,Los Angeles County,2020.0,layoff permanent,10039107.0,los angeles,1661 GOAT,15.77142857138351,8.0,"1661, Inc. dba GOAT"
03/27/2020,03/30/2020,04/11/2020,18th Street Commissary Inc.,San Francisco,San Francisco County,39.0,Layoff Permanent,San Francisco County,2020.0,layoff permanent,881549.0,san francisco,18TH STREET COMMISSARY,28.68965517236433,9.0,18th Street Commissary Inc.
03/17/2020,03/18/2020,04/20/2020,"23 Bottles of Beer, LLC",Windsor,Sonoma County,90.0,Layoff Temporary,Sonoma County,2020.0,layoff temporary,494336.0,windsor,23 BOTTLES BEER,28.421052631529086,10.0,"23 Bottles of Beer, LLC"
01/23/2020,02/07/2020,01/24/2020,23 and Me,Sunnyvale,Santa Clara County,84.0,Layoff Permanent,Santa Clara County,2020.0,layoff permanent,1927852.0,sunnyvale,23 ME,41.904761904712025,11.0,23 and Me
03/28/2020,03/17/2020,04/10/2020,"2355 Telegraph LLC, DBA Super Duper,",Berkeley,Alameda County,25.0,Layoff Temporary,Alameda County,2020.0,layoff temporary,1671329.0,berkeley,2355 TELEGRAPH SUPER DUPER,32.68571428566759,12.0,"2355 Telegraph LLC, DBA Super Duper,"
03/17/2020,03/17/2020,03/30/2020,24 Carrots,Costa Mesa,Orange County,112.0,Layoff Temporary,Orange County,2020.0,layoff temporary,3175692.0,costa mesa,24 CARROTS,23.333333333284717,13.0,24 Carrots
03/31/2020,03/31/2020,04/14/2020,24 Carrots Catering and Events,Costa Mesa,Orange County,112.0,Layoff Permanent,Orange County,2020.0,layoff permanent,3175692.0,costa mesa,24 CARROTS CATERING EVENTS,71.79487179482578,14.0,24 Carrots Catering and Events
07/23/2020,07/23/2020,08/18/2020,24 Hour Fitness USA Inc.,San Ramon,Contra Costa County,53.0,Layoff Temporary,Contra Costa County,2020.0,layoff temporary,1153526.0,san ramon,24 HOUR FITNESS,66.66666666662223,16.0,24 Hour Fitness USA Inc.
06/09/2020,08/09/2020,06/18/2020,"24 Hour Fitness, USA, Inc.",Carlsbad,San Diego County,37.0,Layoff Permanent,San Diego County,2020.0,layoff permanent,3338330.0,carlsbad,24 HOUR FITNESS,99.99999999995,16.0,24 Hour Fitness USA Inc.
04/03/2020,04/03/2020,04/20/2020,3 Day Blinds,Irvine,Orange County,283.0,Layoff Temporary,Orange County,2020.0,layoff temporary,3175692.0,irvine,3 DAY BLINDS,39.341772151848936,17.0,3 Day Blinds
04/08/2020,03/19/2020,04/29/2020,"3 Suns, LLC",Sacramento,Sacramento County,94.0,Closure Temporary,Sacramento County,2020.0,closure temporary,1552058.0,sacramento,3 SUNS,33.46478873234723,18.0,"3 Suns, LLC"
