Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
12/04/2020,12/06/2020,12/30/2020,Blackhawk Country Club,Danville,Contra Costa County ,3,Layoff Temporary
12/07/2020,12/09/2020,12/30/2020,"Fullerton Baekjeong, LLC",Buena Park,Orange County ,67,Closure Permanent
12/07/2020,12/09/2020,12/30/2020,"Irvine Baekjeong, LLC",Irvine,Orange County ,68,Closure Permanent
12/09/2020,12/10/2020,12/30/2020,OCMC Inc. dba Orange County Mining Co.,Santa Ana,Orange County ,59,Closure Temporary
12/07/2020,12/07/2020,12/30/2020,"Parker Palm Springs, LLC",Palm Springs,Riverside County ,79,Layoff Temporary
12/10/2020,12/14/2020,12/29/2020,California Pizza Kitchen,Palo Alto,Santa Clara County ,14,Layoff Temporary
10/15/2020,12/15/2020,12/28/2020,Century Blinds Inc.,Corona,Riverside County ,46,Closure Permanent
12/09/2020,12/10/2020,12/28/2020,"LTF Club Management Company, LLC",La Jolla,San Diego County ,11,Layoff Temporary
12/02/2020,12/02/2020,12/28/2020,"Cisco Systems, Inc.",San Jose,Santa Clara County ,101,Layoff Permanent
09/18/2020,11/16/2020,12/28/2020,APL,Newport Beach,Orange County ,7,Layoff Permanent
09/04/2020,08/27/2020,12/28/2020,Bon App&eacute;tit Management Co. (Bon App&eacute;tit) operations at Oracle,Redwood City,San Mateo County ,105,Layoff Temporary
12/08/2020,12/09/2020,12/24/2020,California Grand Casino,Pacheco,Contra Costa County ,181,Layoff Type Unknown
12/08/2020,02/27/2021,12/24/2020,"GroceryWorks.com Operating Company, LLC.",Sacramento,Sacramento County ,47,Layoff Permanent
12/08/2020,12/06/2020,12/24/2020,"Belmont Park Entertainment, LLC.",San Diego,San Diego County ,153,Layoff Permanent
11/19/2020,01/16/2021,12/24/2020,Abercrombie & Fitch Co,San Luis Obispo,San Luis Obispo County ,40,Closure Permanent
12/19/2020,01/16/2021,12/24/2020,Abercrombie & Fitch Co.,Santa Rosa,Sonoma County ,29,Closure Permanent
12/11/2020,12/07/2020,12/23/2020,Montage Laguna Beach Hotel,Laguna Beach,Orange County ,138,Layoff Temporary
12/08/2020,12/07/2020,12/23/2020,"PSLCT, Inc. dba Las Casuelas Terraza",Palm Springs,Riverside County ,106,Layoff Type Unknown
12/07/2020,12/07/2020,12/23/2020,Ocean's 11 Casino,Oceanside,San Diego County ,360,Closure Temporary
12/11/2020,12/06/2020,12/23/2020,Pendry San Diego,San Diego,San Diego County ,118,Layoff Temporary
12/10/2020,10/27/2020,12/23/2020,Wells Fargo,San Francisco,San Francisco County ,86,Layoff Permanent
12/04/2020,12/11/2020,12/23/2020,Grace GCCA LLC,Ventura,Ventura County ,7,Layoff Temporary
12/07/2020,01/01/2021,12/23/2020,California Academy of Sciences,San Francisco,San Francisco County ,69,Layoff Temporary
12/06/2020,12/06/2020,12/22/2020,"PT Gaming, LLC - Pacheco Facility",Martinez,Contra Costa County ,61,Layoff Permanent
12/08/2020,12/08/2020,12/22/2020,Xanterra Parks & Resorts,Death Valley,Inyo County ,131,Layoff Temporary
12/11/2020,02/12/2021,12/22/2020,"Armstrong Flooring, Inc.",South Gate,Los Angeles County ,66,Closure Permanent
12/11/2020,11/25/2020,12/22/2020,"Nobu Malibu, LLC",Malibu,Los Angeles County ,117,Closure Temporary
12/11/2020,03/31/2021,12/22/2020,"EMPCO, LLC dba IMPCO Technologies",Santa Ana,Orange County ,91,Closure Permanent
12/10/2020,07/15/2020,12/22/2020,"LTF Club Management Company, LLC dba Life Time In Roseville",Roseville,Sacramento County ,333,Closure Temporary
12/06/2020,12/06/2020,12/22/2020,"PT Gaming, LLC - Manteca and Stockton Facility",Manteca,San Joaquin County ,63,Layoff Permanent
12/06/2020,12/06/2020,12/22/2020,"PT Gaming, LLC - San Jose Facility",San Jose,Santa Clara County ,124,Layoff Permanent
12/08/2020,12/06/2020,12/22/2020,"Dust Bowl Brewing Co., LLC",Turlock,Stanislaus County ,67,Layoff Temporary
12/07/2020,12/07/2020,12/22/2020,Hayes Mansion,San Jose,Santa Clara County ,25,Layoff Temporary
11/10/2020,01/10/2021,12/22/2020,"Kaiser Foundation Hospitals - Pleasanton Tech Center, Bldg. A",Pleasanton,Alameda County ,71,Layoff Permanent
11/10/2020,01/10/2021,12/22/2020,Kaiser Foundation Hospitals - Via Monte,Walnut Creek,Contra Costa County ,4,Layoff Permanent
11/10/2020,01/10/2021,12/22/2020,Kaiser Foundation Hospitals - Burbank Administration,Woodland Hills,Los Angeles County ,1,Layoff Permanent
11/10/2020,01/10/2021,12/22/2020,Kaiser Foundation Hospitals - California Service Center,San Diego,San Diego County ,3,Layoff Permanent
12/01/2020,11/30/2020,12/21/2020,Hawaiian Gardens Casino,Hawaiian Gardens,Los Angeles County ,141,Layoff Permanent
12/01/2020,11/30/2020,12/21/2020,"Progressive Gaming, LLC",Hawaiian Gardens,Los Angeles County ,176,Layoff Temporary
12/01/2020,11/30/2020,12/21/2020,"Progressive Gaming, LLC dba Commerce Casino",Commerce,Los Angeles County ,175,Layoff Temporary
12/03/2020,12/04/2020,12/21/2020,Santa monica Georgian Management LLC-Georgian Hotel,Santa Monica,Los Angeles County ,35,Layoff Temporary
12/04/2020,02/04/2021,12/21/2020,"Premier Healthcare Management, Inc.",El Cajon,San Diego County ,82,Layoff Permanent
12/09/2020,12/08/2020,12/21/2020,San Diego Coaster Company LP,San Diego,San Diego County ,54,Layoff Permanent
12/01/2020,12/02/2020,12/21/2020,"CorePower Yoga, LLC",San Mateo,San Mateo County ,12,Layoff Temporary
12/02/2020,01/31/2020,12/21/2020,Pulse Secure,San Jose,Santa Clara County ,78,Layoff Permanent
11/30/2020,02/05/2021,12/21/2020,"Crescent Hotels & Resort, LLC - Four Points by Sheraton LAX",Los Angeles,Los Angeles County ,214,Closure Permanent
11/10/2020,11/10/2020,12/21/2020,Kaiser Foundation Hospitals - Downey Administration Offices,Downey,Los Angeles County ,1,Layoff Permanent
11/10/2020,11/10/2020,12/21/2020,"Kaiser Foundation Hospitals - Marketing, Sales, Service, Admin",Burbank,Los Angeles County ,1,Layoff Permanent
11/25/2020,11/30/2020,12/21/2020,The Edward Thomas Hospitality Corp. - Shutters on the Beach,Santa Monica,Los Angeles County ,72,Layoff Temporary
11/10/2020,01/10/2021,12/21/2020,Kaiser Foundation Hospitals - Corona Data Center Admin,Corona,Riverside County ,4,Layoff Permanent
12/04/2020,11/30/2020,12/18/2020,Seaside Dining Group,Hawthorne,Los Angeles County ,6,Layoff Temporary
12/04/2020,11/30/2020,12/18/2020,"Seaside Dining Group, Inc",Los Angeles,Los Angeles County ,6,Layoff Temporary
12/04/2020,11/30/2020,12/18/2020,"Seaside Dining Group, Inc.",Alhambra,Los Angeles County ,32,Layoff Temporary
12/04/2020,11/30/2020,12/18/2020,"SEASIDE DINING GROUP, INC.",Duarte,Los Angeles County ,7,Layoff Temporary
12/07/2020,12/09/2020,12/18/2020,Stones South Bay Corp. dba Seven Mile Casino,Chula Vista,San Diego County ,250,Layoff Temporary
12/07/2020,02/13/2021,12/18/2020,Valiant Integrated Services,Fort Irwin,San Bernardino County ,84,Closure Temporary
12/04/2020,01/29/2020,12/17/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County ,2,Layoff Permanent
11/13/2020,11/13/2020,12/17/2020,Hyatt Corporation dba Andaz Napa,Napa,Napa County ,6,Layoff Permanent
12/04/2020,12/04/2020,12/17/2020,"Wencor Group, LLC",Temecula,Riverside County ,5,Layoff Permanent
12/07/2020,12/07/2020,12/17/2020,Alisal Guest Ranch and Resort,Solvang,Santa Barbara County ,252,Layoff Temporary
12/04/2020,11/18/2020,12/17/2020,"Knighted Ventures, LLC",Gilroy,Santa Clara County ,33,Closure Temporary
12/01/2020,11/30/2020,12/17/2020,Crystal Casino,Compton,Los Angeles County ,295,Layoff Temporary
11/25/2020,11/25/2020,12/17/2020,"TUPELO RESTAURANTS, INC. DBA BO-BEAU KITCHEN + ROOF TAP",Long Beach,Los Angeles County ,26,Layoff Permanent
11/30/2020,11/25/2020,12/17/2020,"Soho Warehouse, LLC",Los Angeles,Los Angeles County ,98,Layoff Temporary
11/29/2020,11/30/2020,12/17/2020,"Prime Time Athletic Club, Inc.",Burlingame,San Mateo County ,57,Closure Temporary
12/05/2020,12/06/2020,12/17/2020,PLAYERS CASINO,Ventura,Ventura County ,62,Layoff Temporary
12/04/2020,12/04/2020,12/16/2020,Cambria Hotel & Suites,Anaheim,Orange County ,15,Layoff Temporary
12/05/2020,12/05/2020,12/16/2020,Golden Door Spa,San Marcos,San Diego County ,90,Layoff Temporary
11/27/2020,11/27/2020,12/15/2020,"USA Cinemas Services, LLC dba Cinepolis",Thousand Oaks,Ventura County ,31,Closure Temporary
11/30/2020,11/25/2020,12/14/2020,Soho House,West Hollywood,Los Angeles County ,140,Layoff Temporary
12/01/2020,01/31/2021,12/14/2020,"Sundance Holdings Group, LLC",Corte Madera,Marin County ,7,Closure Permanent
12/02/2020,12/31/2020,12/14/2020,Bolle Brands,Carlsbad,San Diego County ,1,Layoff Permanent
12/01/2020,02/01/2021,12/14/2020,Wells Fargo,San Francisco,San Francisco County ,10,Layoff Permanent
12/01/2020,12/03/2020,12/14/2020,"Equinox Holdings, Inc.",San Mateo,San Mateo County ,68,Layoff Temporary
12/01/2020,01/30/2021,12/14/2020,MobileIron,Mountain View,Santa Clara County ,75,Layoff Permanent
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - John Wayne Airport,Santa Ana,Orange County ,128,Layoff Temporary
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - Sacramento International Airport,Sacramento,Sacramento County ,208,Layoff Temporary
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - San Diego International Airport,San Diego,San Diego County ,358,Layoff Temporary
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - Norman Y. Mineta San Jose International Airport,San Jose,Santa Clara County ,285,Layoff Temporary
11/20/2020,11/20/2020,12/11/2020,YMCA,Burbank,Los Angeles County ,80,Layoff Temporary
11/25/2020,11/25/2020,12/08/2020,Joey Downtown Los Angeles Restaurant,Los Angeles,Los Angeles County ,92,Layoff Temporary
11/25/2020,11/25/2020,12/08/2020,Joey Woodland Hills Restaurant,Woodland Hills,Los Angeles County ,72,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Metropolitan Oakland International Airport,Oakland,Alameda County ,573,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Long Beach/Daughtry Field,Long Beach,Los Angeles County ,16,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Los Angeles International Airport,Los Angeles,Los Angeles County ,632,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Hollywood Burbank Airport,Burbank,Los Angeles County ,141,Layoff Temporary
