Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
06/10/2020,06/09/2020,06/30/2020,"Harbor Bay Club, Inc",Alameda,Alameda County,80,Layoff Temporary
03/20/2020,03/20/2020,06/30/2020,"MD2 Industries, LLC",Long Beach,Los Angeles County,109,Closure Temporary
06/30/2020,08/21/2020,06/30/2020,"NBCUniversal Media, LLC - Digital Lab Unit",Universal City,Los Angeles County,28,Layoff Temporary
04/22/2020,06/22/2020,06/30/2020,House of Blues Anaheim,Anaheim,Orange County,8,Closure Temporary
06/29/2020,08/01/2020,06/30/2020,"ADESA California, LLC dba ADESA/AFC LosAngeles",Mira Loma,Riverside County,71,Layoff Permanent
06/17/2020,06/17/2020,06/30/2020,"K&N Engineering, Inc.",Riverside,Riverside County,44,Layoff Permanent
06/29/2020,07/28/2020,06/30/2020,"Benchmark Arrowhead, LLC dba LakeArrowhead Resort and Spa",Lake Arrowhead,San Bernardino County,114,Layoff Permanent
06/18/2020,07/06/2020,06/30/2020,HOWMET Aerospace,Fontana,San Bernardino County,75,Layoff Temporary
06/18/2020,06/16/2020,06/30/2020,Bahia Resort Hotel,San Diego,San Diego County,47,Layoff Permanent
06/18/2020,06/16/2020,06/30/2020,Catamaran Resort Hotel and Spa,San Diego,San Diego County,46,Layoff Permanent
06/18/2020,06/16/2020,06/30/2020,The Lodge Torrey Pines,La Jolla,San Diego County,84,Layoff Permanent
06/18/2020,06/18/2020,06/30/2020,Bahia Resort Hotel,San Diego,San Diego County,33,Layoff Temporary
06/18/2020,06/18/2020,06/30/2020,Catamaran Resort Hotel and Spa,San Diego,San Diego County,33,Layoff Temporary
06/18/2020,06/18/2020,06/30/2020,The Lodge Torrey Pines,La Jolla,San Diego County,37,Layoff Temporary
06/08/2020,03/30/2020,06/30/2020,SmartCareMD,Escondido,San Diego County,38,Layoff Permanent
06/29/2020,08/31/2020,06/30/2020,Stryker Employment Company,Menlo Park,San Mateo County,33,Layoff Permanent
06/29/2020,08/29/2020,06/30/2020,"Nitto, Inc.",San Jose,Santa Clara County,3,Closure Permanent
06/17/2020,06/30/2020,06/30/2020,"Live Nation Worldwide, Inc",Mountain View,Santa Clara County,1,Layoff Temporary
06/29/2020,08/28/2020,06/30/2020,"California Dairies, Inc.",Artesia,Los Angeles County,49,Closure Permanent
06/16/2020,06/12/2020,06/30/2020,Pasadena Symphony Association (PSA),Pasadena,Los Angeles County,68,Layoff Temporary
06/23/2020,07/15/2020,06/30/2020,Lake Avenue Congregational Church ofPasadena,Pasadena,Los Angeles County,28,Closure Permanent
06/29/2020,07/17/2020,06/30/2020,Homet Aerospace,Fullerton,Orange County,71,Layoff Permanent
06/29/2020,08/01/2020,06/30/2020,"ADESA California, LLC dba Adesa Brasher's",Rio Linda,Sacramento County,113,Layoff Permanent
06/28/2020,06/29/2020,06/30/2020,Bossa Nova Robotic,San Francisco,San Francisco County,4,Layoff Temporary
06/29/2020,08/01/2020,06/30/2020,"ADESA California, LLC dba ADESA GoldenGate and Automotive Finance Corporation",Tracy,San Joaquin County,42,Layoff Permanent
06/29/2020,07/08/2020,06/30/2020,Chumash Casino Resort dba HotelCorque/Root 246,Solvang,Santa Barbara County,44,Layoff Permanent
06/28/2020,06/29/2020,06/30/2020,Bossa Nova Robotics,Mountain View,Santa Clara County,22,Layoff Temporary
06/16/2020,06/30/2020,06/30/2020,"Expressive Learning, Inc.",Redding,Shasta County,54,Layoff Temporary
06/17/2020,06/30/2020,06/29/2020,"Live Nation Worldwide, Inc.",Concord,Contra Costa County,2,Layoff Temporary
06/26/2020,07/01/2020,06/29/2020,"Spire Hospitality, dba Los Angeles MarriottBurbank Airport",Burbank,Los Angeles County,137,Layoff Permanent
06/23/2020,08/17/2020,06/29/2020,Adventist Health Ukiah Valley,Ukiah,Mendocino County,10,Layoff Permanent
06/23/2020,06/30/2020,06/29/2020,"Freeman Expositions, LLC",Anaheim,Orange County,39,Layoff Permanent
06/23/2020,06/30/2020,06/29/2020,"The Freeman Company, LLC",Anaheim,Orange County,29,Layoff Permanent
06/17/2020,06/17/2020,06/29/2020,Live Nation Worldwide Inc.,Chula Vista,San Diego County,2,Layoff Temporary
06/25/2020,03/16/2020,06/29/2020,Boys & Girls Clubs of Greater San Diego,San Diego,San Diego County,93,Closure Temporary
04/17/2020,04/20/2020,06/29/2020,Scripps Corporate Office Campus Point,San Diego,San Diego County,9,Layoff Temporary
06/23/2020,08/20/2020,06/29/2020,Boston Scientific Corporation,Los Gatos,Santa Clara County,60,Closure Permanent
04/14/2020,04/13/2020,06/29/2020,"Beta Beauty, LLC",Oxnard,Ventura County,2,Layoff Temporary
04/14/2020,04/13/2020,06/29/2020,The Spatz Corporation,Oxnard,Ventura County,6,Layoff Temporary
04/03/2020,04/03/2020,06/29/2020,The Spatz Corporation,Oxnard,Ventura County,14,Layoff Temporary
04/03/2020,04/03/2020,06/29/2020,"ColourPop Cosmetics, LLC",Oxnard,Ventura County,22,Layoff Permanent
04/03/2020,03/30/2020,06/29/2020,"ColourPop Cosmetics, LLC",Oxnard,Ventura County,26,Layoff Temporary
06/19/2020,06/30/2020,06/29/2020,"Host International, Inc.",Los Angeles,Los Angeles County,115,Layoff Permanent
06/23/2020,06/15/2020,06/29/2020,Bartell Hotels Management Company,San Diego,San Diego County,412,Layoff Permanent
04/17/2020,04/17/2020,06/29/2020,"L.A. Specialty Produce Company, dba VestaFoodservice",Santa Fe Springs,Los Angeles County,361,Layoff Temporary
06/26/2020,08/25/2020,06/29/2020,"Kinkisharyo International, LLC",Palmdale,Los Angeles County,2,Layoff Permanent
06/23/2020,06/23/2020,06/26/2020,Hyatt House San Ramon,San Ramon,Contra Costa County,1,Layoff Permanent
04/03/2020,03/17/2020,06/26/2020,Club One Casino,Fresno,Fresno County,220,Closure Temporary
06/17/2020,06/08/2020,06/26/2020,Innovative Engineering Systems Inc,Bakersfield,Kern County,41,Layoff Permanent
03/26/2020,03/23/2020,06/26/2020,"Trophy Universal City Group, LLC-UniversalCity Nissan",Los Angeles,Los Angeles County,97,Layoff Temporary
03/28/2020,03/27/2020,06/26/2020,"Hollywood Souvenirs and Gifts, LLC",Los Angeles,Los Angeles County,66,Closure Temporary
04/14/2020,03/26/2020,06/26/2020,American International Industries,Commerce,Los Angeles County,128,Layoff Temporary
06/16/2020,08/17/2020,06/26/2020,"MeUndies, Inc.",Los Angeles,Los Angeles County,101,Layoff Permanent
