"GEO_ID","NAME","B25071_001E","B25071_001M"
"id","Geographic Area Name","Estimate!!Median gross rent as a percentage of household income","Margin of Error!!Median gross rent as a percentage of household income"
"0500000US06033","Lake County, California","35.2","2.0"
"0500000US06043","Mariposa County, California","33.7","5.5"
"0500000US06115","Yuba County, California","31.5","1.7"
"0500000US06013","Contra Costa County, California","31.5","0.6"
"0500000US06035","Lassen County, California","29.6","2.3"
"0500000US06083","Santa Barbara County, California","33.8","0.8"
"0500000US06097","Sonoma County, California","32.7","0.7"
"0500000US06025","Imperial County, California","32.8","1.3"
"0500000US06051","Mono County, California","24.6","2.3"
"0500000US06001","Alameda County, California","30.1","0.4"
"0500000US06067","Sacramento County, California","32.6","0.4"
"0500000US06055","Napa County, California","32.0","1.2"
"0500000US06053","Monterey County, California","32.6","0.7"
"0500000US06091","Sierra County, California","32.2","4.2"
"0500000US06073","San Diego County, California","33.4","0.3"
"0500000US06113","Yolo County, California","33.4","0.9"
"0500000US06023","Humboldt County, California","35.8","1.6"
"0500000US06003","Alpine County, California","15.0","6.6"
"0500000US06045","Mendocino County, California","35.1","2.1"
"0500000US06087","Santa Cruz County, California","36.1","1.1"
"0500000US06037","Los Angeles County, California","34.4","0.2"
"0500000US06065","Riverside County, California","34.7","0.4"
"0500000US06085","Santa Clara County, California","28.8","0.3"
"0500000US06041","Marin County, California","31.3","1.0"
"0500000US06093","Siskiyou County, California","32.8","2.0"
"0500000US06089","Shasta County, California","33.8","1.2"
"0500000US06015","Del Norte County, California","31.3","3.3"
"0500000US06079","San Luis Obispo County, California","32.3","1.0"
"0500000US06021","Glenn County, California","29.2","2.0"
"0500000US06007","Butte County, California","36.6","1.3"
"0500000US06063","Plumas County, California","29.6","3.3"
"0500000US06029","Kern County, California","32.3","0.6"
"0500000US06059","Orange County, California","33.5","0.3"
"0500000US06009","Calaveras County, California","35.5","4.2"
"0500000US06101","Sutter County, California","30.0","1.1"
"0500000US06081","San Mateo County, California","29.6","0.5"
"0500000US06109","Tuolumne County, California","31.1","3.2"
"0500000US06077","San Joaquin County, California","32.7","0.5"
"0500000US06005","Amador County, California","34.2","2.7"
"0500000US06047","Merced County, California","31.2","1.1"
"0500000US06049","Modoc County, California","22.6","3.5"
"0500000US06027","Inyo County, California","30.1","2.9"
"0500000US06099","Stanislaus County, California","32.4","0.8"
"0500000US06103","Tehama County, California","33.3","2.1"
"0500000US06069","San Benito County, California","29.5","1.6"
"0500000US06017","El Dorado County, California","30.4","1.6"
"0500000US06075","San Francisco County, California","25.0","0.3"
"0500000US06107","Tulare County, California","33.0","0.9"
"0500000US06057","Nevada County, California","33.3","1.7"
"0500000US06039","Madera County, California","33.1","1.5"
"0500000US06105","Trinity County, California","34.8","3.1"
"0500000US06071","San Bernardino County, California","34.5","0.4"
"0500000US06061","Placer County, California","31.3","0.9"
"0500000US06095","Solano County, California","32.0","0.8"
"0500000US06011","Colusa County, California","27.8","2.5"
"0500000US06031","Kings County, California","29.6","1.1"
"0500000US06019","Fresno County, California","34.1","0.5"
"0500000US06111","Ventura County, California","33.9","0.6"
