,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig
0,06/09/2020,06/07/2020,07/01/2020,Bay Club Redondo Beach,Redondo Beach,Los Angeles County,102.0,Layoff Permanent,Los Angeles County
1,06/09/2020,06/07/2020,07/01/2020,Bay Club Rolling Hills,Rolling Hills Estates,Los Angeles County,64.0,Layoff Permanent,Los Angeles County
2,06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Monica,Santa Monica,Los Angeles County,82.0,Layoff Permanent,Los Angeles County
3,06/19/2020,08/21/2020,07/01/2020,"Weber Metals, Inc",Paramount,Los Angeles County,169.0,Layoff Permanent,Los Angeles County
4,06/09/2020,06/07/2020,07/01/2020,StoneTree Golf Club,Novato,Marin County,32.0,Layoff Permanent,Marin County
5,06/09/2020,06/07/2020,07/01/2020,Bay Club Ross Valley,Kentfield,Marin County,51.0,Layoff Permanent,Marin County
6,06/23/2020,06/23/2020,07/01/2020,The Freeman Company LLC,Anaheim,Orange County,29.0,Layoff Permanent,Orange County
7,06/18/2020,03/20/2020,07/01/2020,Hyatt Regency Sacramento,Sacramento,Sacramento County,203.0,Layoff Permanent,Sacramento County
8,06/18/2020,06/17/2020,07/01/2020,"Granite Summit, Inc",Running Springs,San Bernardino County,60.0,Layoff Type Unknown ,San Bernardino County
9,06/18/2020,06/17/2020,07/01/2020,Pali Camp,Running Springs,San Bernardino County,71.0,Layoff Type Unknown ,San Bernardino County
10,06/18/2020,06/17/2020,07/01/2020,"Pali Institute, Inc",Running Springs,San Bernardino County,35.0,Layoff Type Unknown ,San Bernardino County
11,06/18/2020,06/17/2020,07/01/2020,"Pali Mountain Conference Center, Inc",Running Springs,San Bernardino County,17.0,Layoff Type Unknown ,San Bernardino County
12,06/09/2020,06/07/2020,07/01/2020,Bay Club SF Tennis,San Francisco,San Francisco County,64.0,Layoff Permanent,San Francisco County
13,06/09/2020,06/07/2020,07/01/2020,Bay Club San Francisco,San Francisco,San Francisco County,146.0,Layoff Permanent,San Francisco County
14,06/09/2020,06/07/2020,07/01/2020,Bay Club Redwood Shores,Redwood City,San Mateo County,298.0,Layoff Permanent,San Mateo County
15,06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Clara,Santa Clara,Santa Clara County,182.0,Layoff Permanent,Santa Clara County
16,06/16/2020,06/22/2020,07/01/2020,Eaton Corporation,Camarillo,Ventura County,61.0,Layoff Temporary,Ventura County
17,06/26/2020,08/28/2020,07/01/2020,Boeing Edwards AFB RIF,Edwards,Kern County,6.0,Layoff Permanent,Kern County
18,06/26/2020,08/28/2020,07/01/2020,Boeing El Segundo RIF,El Segundo,Los Angeles County,3.0,Layoff Permanent,Los Angeles County
19,06/26/2020,08/28/2020,07/01/2020,Boeing Long Beach RIF,Long Beach,Los Angeles County,19.0,Layoff Permanent,Los Angeles County
20,06/26/2020,08/28/2020,07/01/2020,Boeing Huntington Beach RIF,Huntington Beach,Orange County,24.0,Layoff Permanent,Orange County
21,06/25/2020,06/30/2020,07/01/2020,Macy's,Modesto,Stanislaus County,75.0,Layoff Permanent,Stanislaus County
22,06/09/2020,06/07/2020,07/02/2020,Bay Club Walnut Creek,Walnut Creek,Contra Costa County,291.0,Layoff Permanent,Contra Costa County
23,06/22/2020,03/23/2020,07/02/2020,Swisstex California Inc,Los Angeles,Los Angeles County,9.0,Layoff Temporary,Los Angeles County
24,04/15/2020,03/26/2020,07/02/2020,Adecco at Air Fayre USA inc.,Gardena,Los Angeles County,310.0,Layoff Temporary,Los Angeles County
25,04/15/2020,03/30/2020,07/02/2020,"Western Dental Services, Inc.",Orange,Orange County,504.0,Layoff Temporary,Orange County
26,06/09/2020,06/07/2020,07/02/2020,Bay Club at the Gateway,San Francisco,San Francisco County,62.0,Layoff Permanent,San Francisco County
27,06/17/2020,07/01/2020,07/02/2020,THE TECH INTERACTIVE,San Jose,Santa Clara County,64.0,Layoff Type Unknown ,Santa Clara County
28,04/20/2020,04/17/2020,07/02/2020,"Guitar Center, Inc.",Thousand Oaks,Ventura County,55.0,Layoff Temporary,Ventura County
29,06/24/2020,06/19/2020,07/02/2020,Grand Hyatt at SFO,San Francisco,San Francisco County,15.0,Layoff Permanent,San Francisco County
30,04/15/2020,03/16/2020,07/02/2020,BON APPETIT Management Company,San Francisco,San Francisco County,1529.0,Layoff Temporary,San Francisco County
31,04/20/2020,04/01/2020,07/02/2020,"Kinestral Technologies, Inc.",Hayward,Alameda County,71.0,Layoff Temporary,Alameda County
32,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, inc. dba Lucille's Smokehouse Bar-B-Que",Torrance,Los Angeles County,66.0,Closure Temporary,Los Angeles County
33,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Long Beach,Los Angeles County,47.0,Closure Temporary,Los Angeles County
34,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Torrance,Los Angeles County,100.0,Closure Temporary,Los Angeles County
35,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Lucille's Smokehouse Barbque",Long Beach,Los Angeles County,80.0,Closure Temporary,Los Angeles County
36,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Saint & Second",Long Beach,Los Angeles County,85.0,Closure Temporary,Los Angeles County
37,04/19/2020,04/06/2020,07/02/2020,MV Transportation,Los Angeles,Los Angeles County,20.0,Layoff Temporary,Los Angeles County
38,03/23/2020,03/23/2020,07/02/2020,"Hof's Hut Restaurant, Inc.",Los Alamitos,Orange County,56.0,Closure Temporary,Orange County
39,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, Inc. dba Lucille's Smokehouse Bar-B-Que.",Orange,Orange County,36.0,Closure Temporary,Orange County
40,04/17/2020,04/17/2020,07/02/2020,"Accredited Debt Relief, Inc.",San Diego,San Diego County,320.0,Layoff Permanent,San Diego County
41,06/16/2020,03/31/2020,07/02/2020,PLAYERS CASINO,Ventura,Ventura County,183.0,Layoff Temporary,Ventura County
42,04/20/2020,04/21/2020,07/03/2020,San Joaquin Valley College Inc.,Hanford,Kings County,7.0,Layoff Permanent,Kings County
43,04/16/2020,03/16/2020,07/03/2020,"Rudy's Hollywood, LLC",Los Angeles,Los Angeles County,106.0,Layoff Permanent,Los Angeles County
44,04/16/2020,03/23/2020,07/03/2020,Tri-Mountain,Irwindale,Los Angeles County,59.0,Layoff Temporary,Los Angeles County
45,07/01/2020,06/30/2020,07/03/2020,United Cerebral Palsy Association of San Diego County,San Diego,San Diego County,89.0,Layoff Temporary,San Diego County
46,04/03/2020,04/03/2020,07/03/2020,"Eye-Fi Holdings, LLC",Solana Beach,San Diego County,1.0,Layoff Temporary,San Diego County
47,07/01/2020,08/31/2020,07/03/2020,"J.C. Penney Corporation, Inc.",Lathrop,San Joaquin County,52.0,Closure Permanent,San Joaquin County
48,06/18/2020,08/17/2020,07/03/2020,Hertz Corporation,San Jose,Santa Clara County,115.0,Layoff Permanent,Santa Clara County
49,03/27/2020,03/16/2020,07/03/2020,California Dental Arts,Cupertino,Santa Clara County,21.0,Layoff Temporary,Santa Clara County
50,04/15/2020,04/15/2020,07/03/2020,All Recreational Equipment Inc. dba REI,Santa Rosa,Sonoma County,83.0,Closure Temporary,Sonoma County
51,04/20/2020,04/21/2020,07/03/2020,"San Joaquin Valley College, Inc.",Porterville,Tulare County,7.0,Layoff Permanent,Tulare County
52,04/17/2020,04/17/2020,07/03/2020,Rapid Displays Inc.,Union City,Alameda County,289.0,Layoff Temporary,Alameda County
53,06/30/2020,03/23/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County,27.0,Layoff Temporary,Stanislaus County
54,06/30/2020,05/09/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County,2.0,Layoff Permanent,Stanislaus County
55,05/26/2020,05/26/2020,07/03/2020,The Langham Huntington Pasadena,Pasadena,Los Angeles County,243.0,Layoff Permanent,Los Angeles County
56,03/26/2020,03/20/2020,07/03/2020,Las Alcobas Resort & Spa,Saint Helena,Napa County,153.0,Layoff Temporary,Napa County
57,04/08/2020,03/23/2020,07/03/2020,"SAINT-GOBAIN, SEKURIT",Garden Grove,Orange County,119.0,Layoff Temporary,Orange County
58,07/01/2020,06/30/2020,07/06/2020,Crown Plaza Concord/Walnut Creek,Concord,Contra Costa County,100.0,Layoff Temporary,Contra Costa County
59,06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County,44.0,Layoff Temporary,Los Angeles County
60,06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Santa Monica,Los Angeles County,40.0,Layoff Permanent,Los Angeles County
61,06/30/2020,05/17/2020,07/06/2020,DELUXE CREATIVE SERVICES,Burbank,Los Angeles County,138.0,Layoff Temporary,Los Angeles County
62,06/30/2020,06/30/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County,43.0,Layoff Permanent,Los Angeles County
63,07/01/2020,07/01/2020,07/06/2020,ELECTRO RENT,Canoga Park,Los Angeles County,25.0,Layoff Permanent,Los Angeles County
64,07/01/2020,08/31/2020,07/06/2020,Claremont McKenna College,Claremont,Los Angeles County,29.0,Layoff Temporary,Los Angeles County
65,04/02/2020,03/18/2020,07/06/2020,Carmel Valley Ranch,Carmel,Monterey County,588.0,Closure Temporary,Monterey County
66,07/02/2020,07/02/2020,07/06/2020,"King's Casino Management Corp., dba The Saloon at Stones Gambling Hall",Citrus Heights,Sacramento County,319.0,Layoff Temporary,Sacramento County
67,07/02/2020,07/07/2020,07/06/2020,McCalls Catering & Events,San Francisco,San Francisco County,424.0,Layoff Temporary,San Francisco County
68,04/06/2020,04/13/2020,07/06/2020,Reputation.com,Redwood City,San Mateo County,6.0,Layoff Temporary,San Mateo County
69,04/29/2020,03/17/2020,07/06/2020,"Air Systems, Inc.",San Jose,Santa Clara County,244.0,Layoff Temporary,Santa Clara County
70,07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County,71.0,Layoff Permanent,Santa Clara County
71,07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County,103.0,Layoff Permanent,Santa Clara County
72,07/01/2020,09/01/2020,07/06/2020,Varian Medical Systems,Palo Alto,Santa Clara County,101.0,Layoff Permanent,Santa Clara County
73,04/01/2020,03/24/2020,07/06/2020,"Museum of Contemporary Art, Los Angeles",Los Angeles,Los Angeles County,158.0,Layoff Type Unknown ,Los Angeles County
74,06/17/2020,06/19/2020,07/07/2020,"4Over, Inc.",Los Angeles,Los Angeles County,58.0,Layoff Type Unknown ,Los Angeles County
75,06/23/2020,06/30/2020,07/07/2020,"Printograph, Inc. dba GotPrint.com",Burbank,Los Angeles County,88.0,Layoff Permanent,Los Angeles County
76,06/26/2020,06/26/2020,07/07/2020,Hyatt Centric The Pike Long Beach,Long Beach,Los Angeles County,2.0,Layoff Permanent,Los Angeles County
77,04/20/2020,04/16/2020,07/07/2020,"Empire Chauffeured Services, Ltd",El Segundo,Los Angeles County,192.0,Layoff Temporary,Los Angeles County
78,04/23/2020,04/27/2020,07/07/2020,"Panavision GP, Inc.",Woodland Hills,Los Angeles County,228.0,Layoff Temporary,Los Angeles County
79,06/26/2020,08/24/2020,07/07/2020,"Warmelin Precision Products, LLC",Hawthorne,Los Angeles County,65.0,Layoff Permanent,Los Angeles County
80,03/28/2020,03/30/2020,07/07/2020,"Alclear, LLC",San Jose,Santa Clara County,16.0,Layoff Temporary,Santa Clara County
81,04/24/2020,04/22/2020,07/07/2020,Total Airport Services/LAX,Los Angeles,Los Angeles County,84.0,Closure Temporary,Los Angeles County
82,03/16/2020,03/16/2020,07/07/2020,YMCA - Greater Whittier,Whittier,Los Angeles County,118.0,Closure Temporary,Los Angeles County
83,03/16/2020,03/16/2020,07/07/2020,YMCA - Camp Abrolado,Angelus Oaks,San Bernardino County,8.0,Closure Temporary,San Bernardino County
84,06/15/2020,06/30/2020,07/07/2020,"Artisan Restaurant Collection for Sodexo, Inc.",San Francisco,San Francisco County,52.0,Layoff Permanent,San Francisco County
85,04/20/2020,04/17/2020,07/07/2020,Parc 55 San Francisco - A Hilton Hotel,San Francisco,San Francisco County,330.0,Layoff Temporary,San Francisco County
86,06/30/2020,06/30/2020,07/07/2020,New West Symphony Association,Thousand Oaks,Ventura County,59.0,Layoff Temporary,Ventura County
87,06/19/2020,07/03/2020,07/08/2020,"Circus Dog Productions, Inc.",North Hollywood,Los Angeles County,77.0,Layoff Permanent,Los Angeles County
88,06/24/2020,07/01/2020,07/08/2020,Centric Brands Inc dba Joe's Jeans,Santa Monica,Los Angeles County,6.0,Layoff Permanent,Los Angeles County
89,04/14/2020,04/14/2020,07/08/2020,Precision Dynamics Corporation,Valencia,Los Angeles County,18.0,Layoff Temporary,Los Angeles County
90,07/06/2020,07/01/2020,07/08/2020,Progressive Gaming LLC dba Commerce Casino,Los Angeles,Los Angeles County,467.0,Closure Temporary,Los Angeles County
91,03/24/2020,03/24/2020,07/08/2020,Rambler Motel,Chula Vista,San Diego County,11.0,Layoff Permanent,San Diego County
92,04/15/2020,06/08/2020,07/08/2020,Lodi Memorial Hospital Association Inc. dba Adventist Health Lodi,Lodi,San Joaquin County,2.0,Layoff Permanent,San Joaquin County
93,06/22/2020,08/24/2020,07/08/2020,Rosewood CordeValle,San Martin,Santa Clara County,82.0,Layoff Permanent,Santa Clara County
94,06/30/2020,08/31/2020,07/08/2020,Los Angeles Mill and Warehouse,Los Angeles,Los Angeles County,199.0,Closure Permanent,Los Angeles County
95,06/19/2020,07/01/2020,07/08/2020,University of Southern California,Los Angeles,Los Angeles County,441.0,Layoff Temporary,Los Angeles County
96,03/18/2020,03/18/2020,07/08/2020,Saekyu Oh DMD Dental Corporation dba Smileland Dental,Bakersfield,Kern County,91.0,Layoff Temporary,Kern County
97,06/22/2020,06/22/2020,07/08/2020,Hyatt Regency Long Beach,Long Beach,Los Angeles County,35.0,Layoff Permanent,Los Angeles County
98,06/29/2020,06/30/2020,07/08/2020,Napa Valley Marriott Hotel & Spa,Napa,Napa County,99.0,Layoff Permanent,Napa County
