Notice_Date,Effective_Date,Received_Date,Company,City,County,No_employees,Layoff/Closure
04/10/2020,04/08/2020,09/09/2020,Trophy of Carson LLC,Carson,Los Angeles County ,178,Closure Temporary
08/27/2020,10/30/2020,09/09/2020,The Ritz-Carlton Hotel Company LLC dba The Ritz-Carlton,Marina del Rey,Los Angeles County ,151,Layoff Permanent
06/29/2020,06/19/2020,09/08/2020,Adventist Health Bakersfield,Bakersfield,Kern County ,3,Layoff Permanent
08/18/2020,09/09/2020,09/08/2020,Richmark Capital Corp,Gardena,Los Angeles County ,864,Layoff Permanent
08/17/2020,10/16/2020,09/08/2020,Adventist Health Mendocino Coast,Ukiah,Mendocino County ,1,Layoff Permanent
08/27/2020,10/26/2020,09/08/2020,Collins Aerospace,Chula Vista,San Diego County ,9,Layoff Permanent
03/25/2020,03/25/2020,09/08/2020,ANDRE-BOUDIN BAKERIES,San Marcos,San Diego County ,32,Layoff Permanent
03/18/2020,03/18/2020,09/08/2020,"Boudin Properties Operating Company, Inc. dba Boudin",San Francisco,San Francisco County ,217,Layoff Permanent
04/29/2020,04/30/2020,09/08/2020,Flying Food Group LLC,Burlingame,San Mateo County ,33,Layoff Permanent
08/24/2020,09/04/2020,09/08/2020,"Compass Group USA, Inc. DBA Eurest",Sunnyvale,Santa Clara County ,120,Layoff Permanent
08/20/2020,10/19/2020,09/08/2020,AT&T CORP.,San Ramon,Contra Costa County ,5,Layoff Permanent
05/08/2020,05/08/2020,09/08/2020,"PCL Industrial Services, Inc.",Bakersfield,Kern County ,34,Layoff Unknown at this time
08/20/2020,10/28/2020,09/08/2020,"First Transit,",Los Angeles,Los Angeles County ,109,Closure Permanent
08/17/2020,10/15/2020,09/08/2020,Compass Group,Los Angeles,Los Angeles County ,104,Layoff Permanent
08/19/2020,10/19/2020,09/08/2020,AT&T,El Segundo,Los Angeles County ,11,Layoff Permanent
08/13/2020,09/20/2020,09/08/2020,"Remo, Inc.",Valencia,Los Angeles County ,76,Layoff Permanent
08/12/2020,07/22/2020,09/08/2020,"Andre-Boudin Bakeries, Inc",Costa Mesa,Orange County ,7,Closure Temporary
05/01/2020,06/01/2020,09/08/2020,"Andre-Boudin Bakeries, Inc.",San Francisco,San Francisco County ,3,Layoff Permanent
05/29/2020,06/01/2020,09/08/2020,"Boudin Properties Operating, Inc. dba Boudin",South San Francisco,San Mateo County ,1,Layoff Permanent
08/24/2020,08/21/2020,09/08/2020,Catalyst Family Inc,Madison,Yolo County ,8,Layoff Unknown at this time
08/26/2020,10/25/2020,09/08/2020,Leidos,Beale Afb,Yuba County ,77,Layoff Permanent
08/28/2020,10/30/2020,09/04/2020,"Marriott Hotel Services, Inc., DBA San Ramon Marriott",San Ramon,Contra Costa County ,60,Layoff Permanent
06/16/2020,06/26/2020,09/04/2020,Adventist Health Reedley,Reedley,Fresno County ,6,Layoff Permanent
05/15/2020,05/22/2020,09/04/2020,adventist Health Reedley,Reedley,Fresno County ,1,Layoff Permanent
05/15/2020,05/22/2020,09/04/2020,Adventist Health Reedley,Reedley,Fresno County ,1,Layoff Temporary
04/22/2020,05/05/2020,09/04/2020,Adventist Health Bakersfield,Bakersfield,Kern County ,2,Layoff Permanent
04/22/2020,05/05/2020,09/04/2020,Adventist Health Bakersfield,Bakersfield,Kern County ,53,Layoff Temporary
05/08/2020,05/22/2020,09/04/2020,Adventist Health Bakersfield,Bakersfield,Kern County ,15,Layoff Temporary
05/08/2020,07/11/2020,09/04/2020,Adventist Health Bakersfield,Bakersfield,Kern County ,72,Closure Permanent
06/16/2020,06/26/2020,09/04/2020,Adventist Health Hanford,Hanford,Kings County ,9,Layoff Permanent
05/15/2020,05/22/2020,09/04/2020,Adventist Health Hanford,Hanford,Kings County ,1,Layoff Temporary
08/27/2020,10/30/2020,09/04/2020,"Marriott Hotel Services, Inc.,  DBA The Ritz-Carlton, Los Angeles and JW Marriott L.A. LIVE",Los Angeles,Los Angeles County ,62,Layoff Permanent
07/29/2020,09/28/2020,09/04/2020,Adventist Health Ukiah Valley,Ukiah,Mendocino County ,2,Layoff Permanent
08/17/2020,10/18/2020,09/04/2020,Adventist Health Mendocino Coast,Fort Bragg,Mendocino County ,2,Layoff Permanent
05/20/2020,07/31/2020,09/04/2020,Adventist Health Ukiah Valley,Ukiah,Mendocino County ,4,Closure Permanent
04/08/2020,06/08/2020,09/04/2020,Adventist Health St. Helena,Saint Helena,Napa County ,5,Layoff Permanent
06/16/2020,06/19/2020,09/04/2020,Adventist Health St. Helena,Saint Helena,Napa County ,5,Layoff Permanent
